State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,overall
AL,republican,republican,republican,republican,republican,republican,republican,republican,republican,republican,republican
AK,republican,republican,republican,republican,republican,independent,independent,independent,independent,republican,republican
AZ,republican,republican,republican,republican,republican,republican,republican,republican,republican,republican,republican
AR,democrat,democrat,democrat,democrat,democrat,republican,republican,republican,republican,republican,republican
CA,republican,democrat,democrat,democrat,democrat,democrat,democrat,democrat,democrat,democrat,democrat
CO,democrat,democrat,democrat,democrat,democrat,democrat,democrat,democrat,democrat,democrat,democrat
CT,republican,democrat,democrat,democrat,democrat,democrat,democrat,democrat,democrat,democrat,democrat
DE,democrat,democrat,democrat,democrat,democrat,democrat,democrat,democrat,democrat,democrat,democrat
FL,republican,republican,republican,republican,republican,republican,republican,republican,republican,republican,republican
GA,republican,republican,republican,republican,republican,republican,republican,republican,republican,republican,republican
HI,republican,democrat,democrat,democrat,democrat,democrat,democrat,democrat,democrat,democrat,democrat
ID,republican,republican,republican,republican,republican,republican,republican,republican,republican,republican,republican
IL,democrat,democrat,democrat,democrat,democrat,republican,republican,republican,republican,democrat,democrat
IN,republican,republican,republican,republican,republican,republican,republican,republican,republican,republican,republican
IA,democrat,republican,republican,republican,republican,republican,republican,republican,republican,republican,republican
KS,democrat,republican,republican,republican,republican,republican,republican,republican,republican,democrat,republican
KY,democrat,democrat,democrat,democrat,democrat,democrat,republican,republican,republican,republican,democrat
LA,republican,republican,republican,republican,republican,republican,democrat,democrat,democrat,democrat,republican
ME,democrat,republican,republican,republican,republican,republican,republican,republican,republican,democrat,republican
MD,democrat,democrat,democrat,democrat,democrat,republican,republican,republican,republican,republican,democrat
MA,democrat,democrat,democrat,democrat,democrat,republican,republican,republican,republican,republican,democrat
MI,democrat,republican,republican,republican,republican,republican,republican,republican,republican,democrat,republican
MN,republican,democrat,democrat,democrat,democrat,democrat,democrat,democrat,democrat,democrat,democrat
MS,republican,republican,republican,republican,republican,republican,republican,republican,republican,republican,republican
MO,democrat,democrat,democrat,democrat,democrat,democrat,democrat,republican,republican,republican,democrat
MT,democrat,democrat,democrat,democrat,democrat,democrat,democrat,democrat,democrat,democrat,democrat
NE,republican,republican,republican,republican,republican,republican,republican,republican,republican,republican,republican
NV,republican,republican,republican,republican,republican,republican,republican,republican,republican,democrat,republican
NH,democrat,democrat,democrat,democrat,democrat,democrat,democrat,republican,republican,republican,democrat
NJ,republican,republican,republican,republican,republican,republican,republican,republican,democrat,democrat,republican
NM,democrat,republican,republican,republican,republican,republican,republican,republican,republican,democrat,republican
NY,democrat,democrat,democrat,democrat,democrat,democrat,democrat,democrat,democrat,democrat,democrat
NC,democrat,democrat,democrat,republican,republican,republican,republican,democrat,democrat,democrat,democrat
ND,republican,republican,republican,republican,republican,republican,republican,republican,republican,republican,republican
OH,democrat,republican,republican,republican,republican,republican,republican,republican,republican,republican,republican
OK,democrat,republican,republican,republican,republican,republican,republican,republican,republican,republican,republican
OR,democrat,democrat,democrat,democrat,democrat,democrat,democrat,democrat,democrat,democrat,democrat
PA,democrat,republican,republican,republican,republican,democrat,democrat,democrat,democrat,democrat,democrat
RI,republican,independent,independent,democrat,democrat,democrat,democrat,democrat,democrat,democrat,democrat
SC,republican,republican,republican,republican,republican,republican,republican,republican,republican,republican,republican
SD,republican,republican,republican,republican,republican,republican,republican,republican,republican,republican,republican
TN,democrat,republican,republican,republican,republican,republican,republican,republican,republican,republican,republican
TX,republican,republican,republican,republican,republican,republican,republican,republican,republican,republican,republican
UT,republican,republican,republican,republican,republican,republican,republican,republican,republican,republican,republican
VT,republican,democrat,democrat,democrat,democrat,democrat,democrat,republican,republican,republican,democrat
VA,republican,republican,republican,republican,democrat,democrat,democrat,democrat,democrat,democrat,democrat
WA,democrat,democrat,democrat,democrat,democrat,democrat,democrat,democrat,democrat,democrat,democrat
WV,democrat,democrat,democrat,democrat,democrat,democrat,democrat,republican,republican,republican,democrat
WI,democrat,republican,republican,republican,republican,republican,republican,republican,republican,democrat,republican
WY,democrat,republican,republican,republican,republican,republican,republican,republican,republican,republican,republican
DC,democrat,democrat,democrat,democrat,democrat,democrat,democrat,democrat,democrat,democrat,democrat
